category,pattern,regex,toxicity_ratio,count
violence,skilled workers,\bskilled\ workers\b,1.0,263
violence,are high skilled,\bare\ high\ skilled\b,1.0,263
violence,high skilled workers,\bhigh\ skilled\ workers\b,1.0,263
violence,skilled workers n,\bskilled\ workers\ n\b,1.0,263
violence,they kill,\bthey\ kill\b,1.0,233
violence,kill another,\bkill\ another\b,1.0,231
violence,animals they kill,\banimals\ they\ kill\b,1.0,231
violence,they kill another,\bthey\ kill\ another\b,1.0,231
violence,kill another human,\bkill\ another\ human\b,1.0,231
violence,have stable,\bhave\ stable\b,1.0,68
violence,stable relationships,\bstable\ relationships\b,1.0,68
violence,to have stable,\bto\ have\ stable\b,1.0,68
violence,have stable relationships,\bhave\ stable\ relationships\b,1.0,68
violence,stable relationships n,\bstable\ relationships\ n\b,1.0,68
violence,emotionally stable,\bemotionally\ stable\b,1.0,67
violence,stable or,\bstable\ or\b,1.0,67
violence,less emotionally stable,\bless\ emotionally\ stable\b,1.0,67
violence,emotionally stable or,\bemotionally\ stable\ or\b,1.0,67
violence,stable or less,\bstable\ or\ less\b,1.0,67
violence,about hurting,\babout\ hurting\b,1.0,56
violence,hurting your,\bhurting\ your\b,1.0,56
violence,worry about hurting,\bworry\ about\ hurting\b,1.0,56
violence,about hurting your,\babout\ hurting\ your\b,1.0,56
violence,hurting your feelings,\bhurting\ your\ feelings\b,1.0,56
violence,unstable,\bunstable\b,1.0,52
violence,are unstable,\bare\ unstable\b,1.0,52
violence,unstable n,\bunstable\ n\b,1.0,52
violence,lesbians are unstable,\blesbians\ are\ unstable\b,1.0,52
violence,are unstable n,\bare\ unstable\ n\b,1.0,52
violence,kill me,\bkill\ me\b,1.0,11
violence,hurts,\bhurts\b,1.0,10
violence,t kill,\bt\ kill\b,1.0,9
violence,kill you,\bkill\ you\b,1.0,8
violence,unstable n in,\bunstable\ n\ in\b,1.0,8
violence,kill that,\bkill\ that\b,1.0,7
violence,unstable n the,\bunstable\ n\ the\b,1.0,7
violence,shoot that,\bshoot\ that\b,1.0,6
violence,kill yo,\bkill\ yo\b,1.0,6
violence,ll kill,\bll\ kill\b,1.0,6
violence,i ll kill,\bi\ ll\ kill\b,1.0,6
violence,kill my,\bkill\ my\b,1.0,5
violence,kill my vibe,\bkill\ my\ vibe\b,1.0,5
violence,killa,\bkilla\b,1.0,5
violence,ima kill,\bima\ kill\b,1.0,5
violence,killed that,\bkilled\ that\b,1.0,5
violence,butthurt,\bbutthurt\b,1.0,5
violence,bitch kill,\bbitch\ kill\b,1.0,5
violence,killer but,\bkiller\ but\b,1.0,5
violence,t a killer,\bt\ a\ killer\b,1.0,5
violence,a killer but,\ba\ killer\ but\b,1.0,5
violence,killer but don,\bkiller\ but\ don\b,1.0,5
violence,attacked,\battacked\b,0.9983633387888707,610
violence,attacked and,\battacked\ and\b,0.9983579638752053,608
violence,attacks against,\battacks\ against\b,0.9982668977469671,576
violence,to kill,\bto\ kill\b,0.9982238010657194,562
violence,attacks,\battacks\b,0.9974293059125964,1552
violence,destroyed,\bdestroyed\b,0.9962962962962963,269
violence,hurting,\bhurting\b,0.9954441913439636,437
violence,skills,\bskills\b,0.9929742388758782,424
violence,stable,\bstable\b,0.9927536231884058,137
violence,kill,\bkill\b,0.9890230515916575,901
violence,hurt,\bhurt\b,0.9852320675105485,467
violence,killed,\bkilled\b,0.9826302729528535,792
violence,shooting,\bshooting\b,0.9166666666666666,11
violence,a killer,\ba\ killer\b,0.8571428571428571,6
violence,shoot,\bshoot\b,0.8392857142857143,47
violence,kill a,\bkill\ a\b,0.8333333333333334,10
violence,killin,\bkillin\b,0.8333333333333334,10
violence,destroying,\bdestroying\b,0.8333333333333334,5
violence,will kill,\bwill\ kill\b,0.8333333333333334,5
violence,killed the,\bkilled\ the\b,0.8333333333333334,5
threat,always going to,\balways\ going\ to\b,1.0,264
threat,were going to,\bwere\ going\ to\b,1.0,79
threat,going to be,\bgoing\ to\ be\b,0.9835164835164835,358
threat,going to,\bgoing\ to\b,0.9322381930184805,454
threat,watch out,\bwatch\ out\b,0.9,9
threat,going to the,\bgoing\ to\ the\b,0.8888888888888888,8
threat,is going to,\bis\ going\ to\b,0.8888888888888888,8
threat,going to get,\bgoing\ to\ get\b,0.875,7
threat,not going to,\bnot\ going\ to\b,0.8571428571428571,6
threat,am going to,\bam\ going\ to\b,0.8333333333333334,5
threat,was going to,\bwas\ going\ to\b,0.8333333333333334,5
threat,m going to,\bm\ going\ to\b,0.7878787878787878,26
threat,are going to,\bare\ going\ to\b,0.7142857142857143,5
self_harm,to suicide,\bto\ suicide\b,1.0,45
self_harm,suicide n,\bsuicide\ n\b,1.0,45
self_harm,leads to suicide,\bleads\ to\ suicide\b,1.0,45
self_harm,to suicide n,\bto\ suicide\ n\b,1.0,45
self_harm,suicide,\bsuicide\b,0.9423076923076923,49
